Interpreta
idObra;idActor;idPersonaje
263;6923;263
263;9338;264
263;1262;265
264;5010;9
264;37237;6
267;12929;5
271;1906;24
272;2792;266
272;3067;267
272;11871;266
272;34254;268
273;4383;269
273;8481;270
273;20978;271
278;20844;6
279;33336;7
280;13160;6
280;10021;6
281;4386;5
281;6120;6
281;6648;10
281;8310;9
281;10974;10
281;15787;10
281;20936;10
281;22112;10
281;23446;272
281;28197;9
281;32991;14
281;37225;10
286;4189;9
287;31571;7
292;3531;5
292;12677;5
292;18420;5
292;21709;11
292;26431;5
292;29820;5
292;1126;11
294;3237;10
294;14902;9
294;28956;10
296;14348;9
299;34651;5
302;23678;6
302;30617;10
302;37209;10
305;7242;6
305;14423;9
307;16426;7
307;25630;7
309;604;10
309;2445;9
309;6567;5
309;14325;6
309;25571;10
309;26149;10
309;27739;10
314;14299;7
318;14640;9
318;30065;5
318;35892;5
319;77;9
320;3458;6
325;13496;6
330;8174;302
330;19826;303
330;25026;304
330;38085;305
331;3952;12
332;4162;6
333;19555;101
333;27413;12
333;28211;9
335;3107;306
335;6408;187
335;7960;307
335;8372;308
335;5992;309
335;9272;310
335;10743;306
335;13385;311
335;13638;312
335;14385;313
335;14946;310
335;15388;314
335;16887;315
335;18680;316
335;21514;317
335;21556;318
335;21646;307
335;22946;313
335;23020;312
335;24047;313
335;24743;319
335;25097;317
335;25936;312
335;25936;314
335;27678;320
335;27747;317
335;28381;321
335;29218;322
335;30365;323
335;34196;312
335;34803;314
335;35056;310
335;35798;324
335;36427;325
335;36428;326
335;38538;22
335;26416;327
336;16804;328
337;3922;333
337;4528;334
337;4700;333
337;10088;335
337;18876;336
337;32313;337
339;4902;282
339;8372;338
339;8491;282
339;10418;339
339;11259;340
339;11490;341
339;16828;338
339;17069;342
339;17281;343
339;19091;344
339;19568;345
339;22752;346
339;24743;347
339;25125;348
339;27678;339
339;28795;22
339;28820;349
339;28960;282
339;30716;350
339;31869;341
339;38508;338
346;1928;9
346;11707;5
346;16082;351
346;18642;5
346;10035;5
346;11518;5
351;20282;7
352;8234;14
352;8235;10
352;23152;14
352;26002;10
352;37298;6
352;37771;10
354;8312;72
354;12916;12
354;17485;12
356;29846;9
357;5016;352
357;12444;5
357;14325;6
357;19045;11
357;27844;10
357;31213;18
357;32028;14
357;30626;10
357;32274;14
357;32991;14
357;37237;6
361;29209;6
362;625;5
362;1093;9
362;4852;5
362;5807;5
362;7060;5
362;7459;5
362;18672;5
362;23090;5
362;23775;5
362;25419;5
362;27851;5
362;29051;5
362;30750;5
362;32573;5
362;34626;5
362;9552;5
362;9789;5
363;4394;7
369;14323;12
370;17827;7
373;12754;9
374;31214;12
374;31225;12
377;29183;9
380;22558;7
382;976;5
382;4435;12
382;20015;5
383;6121;6
384;32829;7
391;15490;12
391;17210;357
391;17798;358
391;19172;12
391;26935;9
392;342;11
392;578;11
392;948;5
392;2269;5
392;6081;9
392;6598;5
392;7491;11
392;9365;5
392;13511;5
392;15684;5
392;15785;5
392;17148;9
392;17163;5
392;18351;5
392;23145;5
392;25473;11
392;26430;5
392;29209;11
392;29449;5
392;28025;5
392;29969;5
392;31907;11
392;32779;11
392;34639;5
392;32317;5
392;37846;11
392;9921;11
392;1125;5
394;10324;5
394;17952;11
396;1323;359
396;1509;360
396;1677;361
396;4111;362
396;8030;363
396;10259;364
396;10541;365
396;12379;366
396;12829;367
396;19322;368
396;23791;369
396;26914;370
396;29505;371
396;32549;372
396;33662;373
396;34629;374
396;35236;375
396;35368;376
396;35741;377
396;37521;378
396;38338;379
397;29359;122
397;32743;138
401;130;380
401;11709;7
403;2108;7
407;12443;381
407;12443;382
407;12805;383
407;14538;384
407;16372;385
407;27747;386
407;37075;387
409;1562;388
411;17305;6
411;35246;9
412;23835;389
412;35682;6
414;3344;25
414;15686;390
414;27115;390
416;1505;391
416;11043;392
418;500;393
418;1545;394
418;1583;395
418;2043;396
418;2460;397
418;3142;398
418;3275;399
418;3431;400
418;4216;401
418;4501;402
418;4710;403
418;5030;404
418;5266;5
418;6069;405
418;6775;406
418;7295;406
418;7514;407
418;7619;408
418;8660;409
418;8946;410
418;10233;411
418;11546;412
418;11546;413
418;12085;414
418;12311;415
418;12913;416
418;13011;417
418;14789;418
418;15888;419
418;16468;420
418;17083;421
418;18069;422
418;18518;423
418;18852;424
418;19693;5
418;19693;425
418;19875;426
418;20141;427
418;21176;428
418;23228;429
418;23279;430
418;23307;431
418;23860;432
418;24959;433
418;24960;434
418;24978;435
418;25726;436
418;26226;437
418;26588;438
418;27777;439
418;28720;440
418;29267;441
418;29912;442
418;30685;443
418;31460;444
418;31672;445
418;31674;446
418;33565;447
418;33949;448
418;34210;449
418;34210;406
418;34386;450
418;35232;451
418;35314;452
418;35361;453
418;35551;454
418;35830;406
418;36299;455
418;36740;456
418;37376;457
418;38378;395
418;38431;458
418;38616;459
418;38717;460
418;38964;461
418;10034;462
420;36912;8
421;7685;463
421;13881;463
421;17206;463
424;2652;11
424;6121;6
424;18482;11
424;36178;11
425;31510;6
428;35930;7
432;6301;7
432;8014;8
432;22334;464
434;1906;128
434;5771;465
434;14359;7
434;33892;128
437;12609;24
437;22859;5
437;22859;24
439;37301;9
442;40;466
442;992;467
442;12875;468
442;25459;469
442;36567;145
445;34091;470
446;13149;5
446;13159;12
446;13160;11
446;13171;11
446;15681;5
448;342;11
448;948;5
448;28024;5
448;29711;5
448;29969;5
452;12763;8
452;23877;6
453;6655;7
453;20174;7
453;27651;7
453;30826;7
453;36761;7
454;3049;24
454;23879;24
454;25624;9
454;34028;24
462;1628;11
462;20681;7
464;5727;128
464;5728;128
465;19671;6
465;21707;5
465;31659;5
465;33462;5
465;35256;5
466;10379;5
466;10565;5
466;14323;471
466;14595;9
466;21861;5
466;23176;6
466;24917;11
466;35246;472
469;31010;5
473;22284;6
473;22558;9
476;1562;473
478;62;474
478;3056;475
478;8902;476
478;11491;477
478;12785;478
478;16224;479
478;10212;480
479;4821;481
479;5918;7
480;13817;5
480;38103;482
482;8612;6
482;31532;5
483;10660;483
484;35971;10
485;10117;484
486;1746;485
486;1747;486
486;1757;487
486;7779;24
486;13208;488
487;16555;489
487;26806;490
490;1958;9
492;1958;9
496;24696;7
497;3458;27
497;37230;7
498;14299;7
505;970;24
505;3101;24
505;6468;491
505;11522;9
507;22077;357
507;23566;11
507;30496;357
509;18427;9
510;14267;7
510;33902;7
520;70;492
520;13394;493
520;15843;494
520;21353;492
520;26989;492
520;33377;494
520;35166;494
522;124;495
522;9032;496
522;5992;497
522;11119;498
522;18680;499
522;22504;323
522;27747;500
522;30147;501
522;31084;502
523;25488;503
523;30745;9
524;1189;504
524;15684;7
524;34646;11
525;17970;6
525;27198;9
526;1334;505
526;3172;506
526;5274;507
