Serie
idSerie;fechasEmision
628;1975-1976
629;1992-1993
630;1994-????
631;1985-????
632;1995-1996
633;1999-????
634;1994-????
635;1993-????
636;1995-????
637;1984-1985
638;1991-????
639;1992-????
640;1977-????
641;1990-1999
642;1988-1993
643;1987-????
644;1998-????
645;1977-????
646;1990-1991
647;1982-1983
648;1981-????
649;1997-1998
650;1996-????
651;1988-????
652;1998-????
653;1999-????
654;1992-1993
655;1999-????
656;1992-????
657;1978-1981
658;1991-1995
659;1991-????
660;1992-????
661;1994-????
662;1999-????
663;1998-2000
664;1998-????
665;1984-1987
666;1979-????
667;1997-????
668;1996-????
669;1999-????
670;1983-1984
671;1986-1989
672;1985-1987
673;1993-1994
674;1999-????
675;1991-????
676;1988-1989
677;1986-1987
678;1980-????
679;1994-????
680;1984-????
681;1994-2007
682;1995-????
683;1995-????
684;1994-????
685;1989-????
686;1998-????
687;1991-1992
688;1994-????
689;1981-1982
690;1994-????
691;1997-1998
692;1996-1997
693;1979-1981
694;1996-????
695;1985-????
696;1995-1996
697;1991-????
698;1985-????
699;1986-????
700;1998-????
701;1991-????
702;1993-????
703;1985-????
704;1991-????
705;1997-????
706;1988-????
707;1997-????
708;1985-????
709;1994-1995
710;1999-2001
711;1993-????
712;1976-1981
713;1995-????
714;1995-????
715;1989-1991
716;1994-????
717;1997-1999
718;1981-1982
719;1992-1993
720;1994-????
721;1985-????
722;1992-????
723;1997-????
724;1989-????
725;1994-????
726;1980-????
727;1995-????
728;1994-????
729;1992-????
730;1993-1994
731;1987-1991
732;1996-1997
733;1991-1993
734;1990-1993
735;1999-2000
736;1984-????
737;1990-????
738;1977-1982
739;1996-????
740;1997-????
741;1999-2000
742;1991-????
743;1985-????
744;1998-????
745;1994-????
746;1993-1996
747;1994-????
748;1990-????
749;1999-2000
750;1994-????
751;1995-????
752;1988-????
753;1986-1987
754;1978-????
755;1984-1987
756;1997-????
757;1996-????
758;1985-????
759;1999-????
760;1977-1979
761;1995-1996
762;1999-2003
763;1980-????
764;1977-1981
765;1996-????
766;1996-1998
767;1990-????
768;1998-????
769;1998-????
770;1997-????
771;1976-????
772;1996-????
773;1990-????
774;1991-1992
775;1998-2000
776;1993-????
777;1991-????
778;1985-????
779;1984-????
780;1993-????
781;1988-????
782;1998-????
783;1989-????
784;1986-????
785;1997-1998
786;1991-????
787;1994-????
788;1978-1981
789;1999-2001
790;1980-1982
791;1990-????
792;1991-1993
793;1992-1998
794;1995-????
795;1996-????
796;1990-1991
797;1990-????
798;1997-????
799;1997-????
800;1984-1991
801;1992-????
802;1988-1989
803;1991-????
804;1988-1991
805;1992-????
806;1989-????
807;1995-????
808;1982-????
809;1995-????
810;1994-1996
811;1997-1998
812;1985-????
813;1996-????
814;1993-????
815;1989-????
816;1992-????
817;1996-2006
818;1997-????
819;1995-????
820;1996-????
821;1987-????
822;1982-????
823;1987-????
824;1987-????
825;1987-????
826;1996-1998
827;1997-????
828;1994-????
829;1992-????
830;1985-????
831;1997-????
832;1990-1996
833;1979-????
834;1993-1994
835;1984-1988
836;1981-????
837;1997-????
838;1998-????
839;1997-1999
840;1993-????
841;1996-2000
842;1989-1990
843;1983-????
844;1986-1987
845;1993-????
846;1989-????
847;1976-1991
848;1990-????
849;1995-1998
850;1986-????
851;1985-????
852;1983-1984
853;1981-1983
854;1989-1990
855;1999-2000
856;1981-????
857;1984-????
858;1995-1996
859;1983-1985
860;1978-????
861;1996-????
862;1987-????
863;1990-????
864;1998-????
865;1999-????
866;1989-1992
867;1975-1977
868;1990-1993
869;1997-1999
870;1975-????
871;1987-1988
872;1988-1989
873;1996-1997
874;1998-????
875;1987-????
876;1993-1996
877;1989-????
878;1992-????
879;1979-????
880;1989-1990
881;1997-????
882;1979-1981
883;1986-????
884;1999-1999
885;1990-1994
886;1997-????
887;1993-1994
888;1982-????
889;1989-????
890;1996-????
891;1997-????
892;1998-????
893;1995-1996
894;1997-????
895;1984-1986
896;1998-????
897;1996-????
898;1992-1993
899;1995-????
900;1999-????
901;1989-????
902;1976-????
903;1984-????
904;1996-????
905;1988-????
906;1989-1990
907;1996-2001
908;1990-????
909;1992-????
910;1999-????
911;1987-????
912;1996-????
913;1993-1994
914;1982-1984
915;1990-1993
916;1988-????
917;1995-????
918;1993-????
919;1996-????
920;1991-????
921;1998-1999
922;1990-1997
923;1997-????
924;1976-????
925;1990-????
926;1978-1979
927;1998-????
928;1994-????
929;1976-1977
930;1997-????
931;1994-????
932;1983-1989
933;1990-????
934;1994-????
935;1984-????
936;1990-????
937;1995-????
938;1999-????
939;1979-????
940;1997-????
941;1989-1992
942;1992-1993
943;1995-????
944;1988-????
945;1997-????
946;1986-1988
947;1999-????
948;1981-????
949;1981-1984
950;1998-2000
951;1991-????
952;1987-????
953;1987-????
954;1986-????
955;1992-1994
956;1986-????
957;1976-????
958;1978-????
959;1991-1992
960;1999-????
961;1989-????
962;1983-1985
963;1989-????
964;1995-????
965;1999-????
966;1993-1994
967;1991-????
968;1991-????
969;1983-????
970;1977-1978
971;1998-1999
972;1977-????
973;1998-1999
974;1989-????
975;1983-????
976;1977-1978
977;1987-1989
978;1983-1984
979;1997-2000
980;1980-????
981;1986-????
982;1981-????
983;1980-????
984;1991-????
985;1995-2003
986;1984-1986
987;1993-????
988;1994-????
989;1993-1996
990;1991-????
991;1993-1994
992;1975-????
993;1978-????
994;1993-????
995;1995-????
996;1995-????
997;1995-2005
998;1995-????
999;1995-????
1000;1997-1998
1001;1993-1999
1002;1994-????
1003;1998-2000
1004;1998-????
1005;1990-1991
1006;1997-????
1007;1997-????
1008;1987-1988
1009;1990-2005
1010;1986-????
1011;1992-????
1012;1993-????
1013;1999-????
1014;1983-????
1015;1994-????
1016;1992-1993
1017;1986-1988
1018;1979-????
1019;1978-1979
1020;1990-????
1021;1990-????
1022;1981-1982
1023;1991-????
1024;1990-1990
1025;1993-????
1026;1998-2002
1027;1982-1991
1028;1979-????
1029;1988-1990
1030;1990-????
1031;1997-????
1032;1976-????
1033;1985-????
1034;1994-????
1035;1983-1985
1036;1990-1991
1037;1991-????
1038;1989-????
1039;1994-1995
1040;1992-????
1041;1989-????
1042;1992-1994
1043;1990-????
1044;1995-????
1045;1981-1982
1046;1991-????
1047;1993-????
1048;1986-????
1049;1993-????
1050;1988-????
1051;1996-????
1052;1988-????
1053;1994-????
1054;1998-????
1055;1995-????
1056;1997-2000
1057;1999-2004
1058;1997-????
1059;1989-????
1060;1981-????
1061;1997-????
1062;1991-????
1063;1995-????
1064;1996-????
1065;1980-????
1066;1998-????
1067;1997-????
1068;1992-????
1069;1994-????
1070;1998-????
1071;1999-????
1072;1984-1985
1073;1989-????
1074;1990-????
1075;1997-????
1076;1993-????
1077;1996-????
1078;1992-????
1079;1999-????
1080;1985-1986
1081;1986-????
1082;1999-2000
1083;1997-????
1084;1978-????
1085;1992-1993
1086;1995-????
1087;1996-1998
1088;1995-????
1089;1993-1994
1090;1988-????
1091;1985-????
1092;1977-????
1093;1994-????
1094;1988-????
1095;1989-????
1096;1991-????
1097;1997-????
1098;1996-????
1099;1999-2001
1100;1986-????
1101;1991-????
1102;1990-????
1103;1997-????
1104;1980-????
1105;1999-????
1106;1977-1981
1107;1981-1992
1108;1994-????
1109;1983-????
1110;1993-1994
1111;1995-2001
1112;1997-????
1113;1992-????
1114;1986-????
1115;1992-????
1116;1999-????
1117;1993-????
1118;1986-????
1119;1997-????
1120;1994-????
1121;1996-1999
1122;1990-????
1123;1995-2009
1124;1977-????
1125;1978-1980
1126;1980-1983
1127;1980-????
1128;1977-1978
1129;1987-1988
1130;1987-1988
1131;1986-????
1132;1990-????
1133;1976-1981
1134;1988-1989
1135;1998-????
1136;1997-1999
1137;1995-????
1138;1979-1987
1139;1995-1999
1140;1999-2001
1141;1995-????
1142;1994-????
1143;1997-????
1144;1976-????
1145;1981-????
1146;1993-????
1147;1992-????
1148;1999-2000
1149;1995-????
1150;1991-????
1151;1990-????
1152;1997-2004
1153;1999-2004
1154;1989-????
1155;1998-????
1156;1983-1984
1157;1984-????
1158;1996-1998
1159;1999-????
1160;1998-2001
1161;1999-????
1162;1993-????
1163;1994-????
1164;1987-????
1165;1992-????
1166;1994-????
1167;1990-????
1168;1995-????
1169;1990-1995
1170;1997-1998
1171;1998-????
1172;1999-2004
1173;1998-2005
1174;1991-1992
1175;1994-????
1176;1993-????
1177;1993-1994
1178;1989-????
1179;1993-????
1180;1999-????
1181;1982-1984
1182;1997-????
1183;1996-1997
1184;1979-????
1185;1989-1990
1186;1986-????
1187;1984-????
1188;1995-1997
1189;1986-????
1190;1996-????
1191;1987-1988
1192;1995-????
1193;1999-2001
1194;1987-????
1195;1986-????
1196;1989-1991
1197;1995-????
1198;1992-????
1199;1995-1996
1200;1987-????
1201;1992-????
1202;1975-????
1203;1981-1982
1204;1989-????
1205;1984-1985
1206;1994-????
1207;1987-????
1208;1996-1997
1209;1985-1987
1210;1991-1993
1211;1978-1981
1212;1992-????
1213;1989-????
1214;1997-????
1215;1988-1990
1216;1981-1982
1217;1983-????
1218;1976-1977
1219;1976-????
1220;1998-????
1221;1989-1990
1222;1993-????
1223;1997-????
1224;1999-????
1225;1992-????
1226;1997-????
1227;1997-????
1228;1998-????
1229;1994-????
1230;1980-2011
1231;1985-????
1232;1997-????
1233;1991-1996
1234;1989-1994
1235;1995-????
1236;1997-????
1237;1993-????
1238;1981-????
1239;1998-????
1240;1997-????
1241;1995-????
1242;1989-????
1243;1992-????
1244;1996-????
1245;1991-????
1246;1989-1990
1247;1995-????
1248;1999-????
1249;1998-2000
1250;1983-????
1251;1998-????
1252;1994-????
1253;1989-????
1254;1979-????
1255;1998-2002
1256;1989-1991
1257;1991-1993
1258;1977-1978
1259;1993-1996
1260;1999-????
1261;1975-????
1262;1998-????
1263;1992-1994
1264;1982-1985
1265;1994-????
1266;1983-1986
1267;1986-????
1268;1985-1986
1269;1999-2002
1270;1986-????
1271;1998-????
1272;1984-1987
1273;1993-????
1274;1986-1987
1275;1989-1991
1276;1994-????
1277;1999-????
1278;1990-1991
1279;1992-1993
1280;1991-????
1281;1984-????
1282;1989-????
1283;1977-1981
1284;1981-1982
1285;1995-????
1286;1989-????
1287;1995-????
1288;1999-????
1289;1987-1989
1290;1976-????
1291;1981-1982
1292;1999-????
1293;1989-????
1294;1987-????
1295;1995-????
1296;1990-????
1297;1995-????
1298;1996-????
1299;1996-????
1300;1990-1996
1301;1989-????
1302;1991-1992
1303;1990-????
1304;1993-????
1305;1984-????
1306;1986-????
1307;1996-1999
1308;1993-????
1309;1982-1983
1310;1996-1997
1311;1999-????
1312;1983-1985
1313;1985-1987
1314;1985-1991
1315;1985-1986
1316;1975-1976
1317;1999-????
1318;1989-1990
1319;1999-????
1320;1991-????
1321;1995-????
1322;1990-1991
1323;1979-????
1324;1992-1993
1325;1997-????
1326;1992-1993
1327;1995-????
1328;1990-1991
1329;1997-1998
1330;1988-????
1331;1992-1993
1332;1992-????
1333;1996-1997
1334;1990-????
1335;1992-1995
1336;1979-????
1337;1999-????
1338;1995-????
1339;1992-1998
1340;1992-????
1341;1985-????
1342;1999-????
1343;1991-????
1344;1996-????
1345;1996-????
1346;1995-1996
1347;1998-????
1348;1982-????
1349;1982-????
1350;1986-????
1351;1987-????
1352;1976-1979
1353;1990-2002
1354;1996-????
1355;1982-????
1356;1995-????
1357;1981-????
1358;1996-????
1359;1990-????
1360;1982-????
1361;1979-1982
1362;1975-1976
1363;1990-1991
1364;1997-1999
1365;1986-????
1366;1989-????
1367;1988-1992
1368;1996-1997
1369;1995-1996
1370;1996-????
1371;1996-????
1372;1985-????
1373;1993-????
1374;1980-????
1375;1992-1993
1376;1986-????
1377;1991-????
1378;1988-????
1379;1981-1984
1380;1985-1986
1381;1997-????
1382;1997-????
1383;1992-1993
1384;1991-????
1385;1998-2004
1386;1999-2002
1387;1999-????
1388;1996-????
1389;1992-????
1390;1989-1990
1391;1990-????
1392;1992-????
1393;1992-1993
1394;1995-1996
1395;1980-????
1396;1994-????
1397;1999-2000
1398;1995-????
1399;1986-????
1400;1986-????
1401;1995-2005
1402;1999-2003
1403;1996-1997
1404;1995-????
1405;1998-????
1406;1994-????
1407;1996-????
1408;1994-????
1409;1998-????
1410;1995-????
1411;1985-1988
1412;1983-1985
1413;1991-????
1414;1984-????
1415;1990-????
1416;1995-????
1417;1995-????
1418;1998-????
1419;1992-1993
1420;1997-????
1421;1994-????
1422;1996-1997
1423;1990-1991
1424;1997-1998
1425;1999-????
1426;1998-????
1427;1997-????
1428;1997-1999
1429;1996-????
1430;1988-????
1431;1983-????
1432;1983-????
1433;1996-????
1434;1996-????
1435;1989-1991
1436;1996-1999
1437;1999-????
1438;1997-????
1439;1989-????
1440;1992-????
1441;1990-1996
1442;1981-1983
1443;1993-????
1444;1996-????
1445;1978-1979
1446;1997-????
1447;1991-1993
1448;1992-????
1449;1992-2005
1450;1984-????
1451;1997-????
1452;1977-????
1453;1987-1989
1454;1989-1990
1455;1994-????
1456;1990-????
1457;1994-1997
1458;1997-????
1459;1992-1993
1460;1994-1995
1461;1984-1986
1462;1990-????
1463;1995-????
1464;1996-????
1465;1998-????
1466;1988-1989
1467;1992-1996
1468;1975-????
1469;1991-1992
1470;1991-1992
1471;1992-????
1472;1997-????
1473;1986-????
1474;1990-????
1475;1998-2001
1476;1994-????
1477;1998-????
1478;1988-1989
1479;1994-????
1480;1983-????
1481;1976-1978
1482;1977-1981
1483;1990-1992
1484;1997-????
1485;1994-????
1486;1990-????
1487;1984-????
1488;1988-????
1489;1990-2003
1490;1990-????
1491;1985-????
1492;1986-????
1493;1986-????
1494;1991-????
1495;1981-????
1496;1984-????
1497;1992-????
1498;1976-????
1499;1981-????
1500;1994-1999
1501;1987-????
1502;1993-????
1503;1994-????
1504;1992-????
1505;1997-1998
1506;1999-????
1507;1996-1997
1508;1976-????
1509;1978-1979
1510;1994-????
1511;1999-2000
1512;1998-1999
1513;1997-1998
1514;1983-1987
1515;1988-????
1516;1999-????
1517;1989-????
1518;1999-????
1519;1993-????
1520;1986-1987
1521;1993-1994
1522;1998-2000
1523;1996-1998
1524;1996-????
1525;1998-????
1526;1999-????
1527;1999-????
1528;1999-????
1529;1976-1979
1530;1982-????
1531;1994-????
1532;1986-????
1533;1989-????
1534;1999-2003
1535;1994-????
1536;1999-2000
1537;1977-????
1538;1995-????
1539;1990-????
1540;1987-1989
1541;1995-????
1542;1984-????
1543;1989-????
1544;1988-1991
1545;1987-????
1546;1993-????
1547;1979-1980
1548;1989-1991
1549;1999-????
1550;1984-1986
1551;1986-1986
1552;1993-????
1553;1988-????
1554;1986-1987
1555;1996-????
1556;1990-1992
1557;1997-1998
1558;1997-2004
1559;1989-????
1560;1990-1993
1561;1993-????
1562;1983-????
1563;1992-????
1564;1998-????
1565;1998-1999
1566;1995-????
1567;1994-????
1568;1979-1983
1569;1995-????
1570;1990-????
1571;1985-1987
1572;1995-????
1573;1999-????
1574;1999-????
1575;1993-1994
1576;1998-1999
1577;1994-????
1578;1993-????
1579;1991-????
1580;1986-????
1581;1995-1996
1582;1994-1995
1583;1985-????
1584;1991-????
1585;1994-1994
1586;1995-????
1587;1995-1996
1588;1982-1984
1589;1993-1995
1590;1981-1982
1591;1992-1993
1592;1997-????
1593;1995-????
1594;1994-????
1595;1994-????
1596;1989-????
1597;1992-????
1598;1995-????
1599;1987-????
1600;1999-2000
