Personaje
idPersonaje;descripcion
577;Finn
578;Lavi
579;Lencarregat
580;Torquemada
581;The Clown
582;Clementina
583;Zruspa
584;Comentarista
585;Herself - Reportera
586;Naroa
587;Leonor
588;Txus
589;Alicia
590;Encargado
591;Igone
592;Andoni
593;Gregorio
594;Margarita
595;Mila
596;Mikel
597;Txapas
598;Koro
599;Itxaso
600;Milena
601;Agustín
602;Don Luis
603;Ibon
604;Tomax
605;Nestor
606;Elene
607;Jose Mari
608;Ainhoa
609;Amaia
610;Kitto
611;Hortentsi
612;Karlos
613;German
614;Guti
615;Nekane
616;Kar
617;Joseba
618;Koldo
619;Ane
620;Felix Puskas
621;Gaizka
622;Mertxe
623;Lukas
624;Joana
625;Benantzio
626;Kaludia
627;Maria Luisa
628;Aitor
629;Kevin
630;Eusebio
631;Petra
632;John Kepa
633;Martin
634;Abel
635;Lutxi
636;Tximista
637;Karmelo
638;Ikerne
639;Estitxu
640;Txusmi
641;Body guard
642;Xabier
643;Puppet Performer
644;Mujer anuncio Gomaespumosa
645;Carlos IV
646;Carlos III
647;Iriarte
648;Condesa de Chinchón
649;Godoy
650;Reina María Luisa
651;Francisco Bayeu
652;Conde de Floridablanca
653;Duquesa de Osuna
654;Jovellanos
655;Mujer
656;Albert
657;Francina
658;Salvadora
659;Rufí
660;Libori
661;Caterina
662;Rafel
663;Rosa
664;Claudi
665;Graciela
666;Juanito
667;Chucky
668;Norma
669;Contestant
670;Napoleón
671;Ada Corishant
672;Kammamuri
673;Mohan Singh
674;Richard
675;Thug
676;Tremal Naik
677;Young girl
678;Farah
679;Father Flores
680;Stefan Krüger
681;Colonel Edward Corishant
682;Sara Corishant
683;Young Deborah
684;Karni
685;Deborah Corishant
686;Sonali
687;OConnor
688;Margherita Sarfatti
689;Benito Mussolini
690;Primo
691;Giuliani
692;Steelworks Foreman
693;Rocca
694;Anna Kulicioff
695;1st Woman Patron
696;Eleonora
697;Ciccotti
698;Naldi
699;Renzis Wife
700;Lawyer
701;Ambassador
702;Vautrot
703;Police Officer
704;Cesare
705;Libero
706;Don Dallabrida
707;Gasparotto
708;Fencing Instructor
709;2nd Woman Patron
710;Leonida Bissolati
711;Rachele
712;Old Priest
713;Duilio
714;Damerinis Wife
715;Vogler
716;Tagliatela
717;Giulia Ferrari
718;Angelika Balabanoff
719;Giacinto Serrati
720;Bussi
721;Annina
722;City Councilor
723;Damerini
724;Ferrari
725;Claudio Treves
726;Mazzoni
727;Barrister Sarfatti
728;Eleonoras 1st Escort
729;Renzi
730;Rosa Maltoni
731;Lazzari
732;Corporal
733;Gaudenzi
734;Bacci
735;Bertoni
736;Marinetti
737;Alessandro
738;Magni
739;Bergonzi
740;Valmaggi
741;Eleonoras 2nd Escort
742;Bonavita
743;Renzis Mother
744;Filippo Turati
745;Sirotina
