Obra
idObra;titulo;fechaProduccion
367;Delirios de amor;1989
368;DeMúsiKa TV;1999
369;Dentro de un orden;1983
370;Deporte para todos;1981
371;Derecho a discrepar;1988
372;Desayuna con alegría;1991
373;Descúbreme;1997
374;Desde Galicia para el mundo;1993
375;Desde Palma con amor;1991
376;Desesperado club social;1999
377;Destino Argentina;1978
378;Destino Plutón;1980
379;Detective Bogey;1994
380;Detrás de la noticia;1990
381;Devórame otra vez;1991
382;Dezine;1998
383;Diario de sesiones;1985
384;Diccionario de la salud;1988
385;Dicciopinta;1990
386;Die zweite Heimat - Chronik einer Jugend;1992
387;Digan lo que digan;1997
388;Digui, digui;1984
389;Dilluns, dilluns;1988
390;Dinamo;1985
391;Ding-Dong;1980
392;Directo elecciones;1996
393;Directo en la noche;1986
394;Directo, directo;1994
395;Directísimo;1975
396;Disperatamente Giulia;1989
397;Diálogos de un matrimonio;1982
398;Do, re, mi;1998
399;Dobles parejas;1996
400;Doctor Caparrós, metge de poble;1982
401;Documentos TV;1986
402;Domingo en rojo;1990
403;Domingueros;1989
404;Domini públic;1997
405;Don Baldomero y su gente;1982
406;Don Juan;1997
407;Don Quijote de la Mancha;1978
408;Don Rock;1990
409;Dones daigua;1997
410;Dora Dora;1994
411;Dos cadenas para tí;1990
412;Dos por dos;1978
413;Dos és massa;1996
414;Dossier;1978
415;Dr. Caparrós, medicina general;1979
416;Dr. Zitbags Transylvania Pet Shop;1994
417;Dret a parlar;1993
418;Drug Wars: The Camarena Story;1990
419;Duplex;1993
420;Duros y reales;1990
421;Día a día;1996
422;Días de cine;1991
423;Dúplex per llogar;1986
424;Edición de tarde;1996
425;Educar hoxe;1998
426;Efecto F;1997
427;El actor y sus personajes;1981
428;El alambique;1989
429;El arte de vivir;1982
430;El baile;1985
431;El bigote de Babel;1987
432;El campo;1975
433;El cangur;1994
434;El canto de un duro;1978
435;El capitá enciam;1994
436;El carro de la farsa;1980
437;El chou;1994
438;El clima y las cuatro estaciones;1994
439;El club de la comedia;1999
440;El club de los listillos;1996
441;El coleccionismo y los coleccionistas;1979
442;El comisario;1999
443;El concurs dels tres dragons;1981
444;El concursazo;1997
445;El consultorio de la Dra. Delgado;1995
446;El coraje de vivir;1994
447;El cronómetro;1999
448;El debate de hoy;1995
449;El destino en sus manos;1995
450;El desván del trasgo;1997
451;El domin... gol;1997
452;El domingo es nuestro;1986
453;El día después;1990
454;El día por delante;1989
455;El día que me quieras;1994
456;El edén;1984
457;El edén;1987
458;El escarabajo verde;1997
459;El español y los siete pecados capitales;1980
460;El espejo mágico;1985
461;El flechazo;1997
462;El friqui;1994
463;El gallinero;1997
464;El gordo;1990
465;El gran circo de Telecinco;1993
466;El gran concurso del siglo;1999
467;El gran juego de la oca;1993
468;El hayedo de Montejo;1994
469;El hombre y la tierra: Serie canadiense;1980
470;El hotel de las mil y una estrellas;1978
471;El imperdible;1997
472;El informal;1998
473;El informe del día;1992
474;El jarama;1994
475;El jardín de Venus;1983
476;El joc de viure;1997
477;El joc del segle;1991
478;El joven Picasso;1993
479;El juego de los errores;1982
480;El juego del euromillón;1998
481;El juglar y la reina;1978
482;El kanguro de A3Z;1997
483;El kiosco;1984
484;El lector;1994
485;El libro gordo de Petete;1981
486;El loco mundo de los payasos;1982
487;El mar y el tiempo;1987
488;El martes que viene;1990
489;El mayorazgo de Labraz;1983
490;El menú de cada día;1992
491;El menú de Karlos Arguiñano;1994
492;El menú del día;1991
493;El mirall;1990
494;El monstruo de Sanchezstein;1977
